votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,total_area,pop_density,white,black,native_american,hawaiian_pacific,multi,voter_turnout,democrat,county,state,education,religion,age_young,age_adult,age_old,ethnic_male,ethnic_female
13896,0.066,-1.1591119234507496,-1.2745843938520816,0.281,0.1116020416,0.1712784917,-0.1784349408011522,-0.15835702155336773,-0.10926833813115912,0.689779159,0.282522966,0.004291547,0.000626334,0.006936068,0.0032235316,0,Coffee County,GA,Uneducated,PENTECOSTAL / CHARISMATIC,0.35480653300000004,0.407186601,0.193792335,BLACK MALE RATE,BLACK FEMALE RATE
9439,0.049,-0.3463032731046391,-1.0056908945723546,0.20199999999999999,0.1321629844,0.08796296296,-0.23913893464245153,-0.0864134895508302,-0.1365755448504669,0.938798772,0.027838667,0.003200351,0.000219202,0.004778606,0.00413809733,0,Nodaway County,MO,Educated,OTHER CHRISTIAN,0.456291102,0.29693117,0.208505042,BLACK MALE RATE,BLACK FEMALE RATE
40425,0.053,0.4082172988675514,-0.18866159278176836,0.156,0.08147138965,0.12565658400000002,-0.046028230964646935,-0.2296261564605067,-0.002880388386085228,0.793142456,0.171653525,0.004015883,0.001176484,0.007918642,0.00457301553,0,Walton County,GA,Uneducated,MAINLINE CHRISTIAN,0.33366893200000003,0.394382289,0.212491093,BLACK MALE RATE,BLACK FEMALE RATE
73648,0.043,0.4671668022442961,0.4594541801070715,0.15,0.06455689658,0.09023595847999999,0.255048998786738,-0.17062163849759276,0.03764559356040343,0.84298783,0.087978738,0.014038327,0.001214156,0.019398517,0.00412074416,0,Shawnee County,KS,Educated,MAINLINE CHRISTIAN,0.327044343,0.369411107,0.248706113,BLACK MALE RATE,BLACK FEMALE RATE
9279,0.066,-0.8904906941785989,-1.2830037597786486,0.23399999999999999,0.05562572361,0.06749344145,-0.24169677700382514,0.006203711550572624,-0.13947439906695394,0.760236518,0.204819277,0.008891655,0.000400124,0.008358156,0.00412528342,0,Taylor County,FL,Uneducated,MAINLINE CHRISTIAN,0.276085894,0.40603743400000003,0.261325746,BLACK MALE RATE,BLACK FEMALE RATE
24824,0.063,-1.0307127947774193,-0.8222188787559198,0.247,0.1007484953,0.16359102239999998,-0.12570182321848336,-0.199908247245056,-0.07338052293104973,0.971411455,0.008270376,0.003311479,0.00026625,0.005225147,0.00413086165,0,Laurel County,KY,Uneducated,MAINLINE CHRISTIAN,0.30758478300000003,0.39859220500000003,0.23303491099999998,MULTI MALE RATE,BLACK FEMALE RATE
112827,0.061,-0.48189539868368714,-0.07622797697074095,0.18899999999999997,0.07463851354,0.1271791054,0.44972957821383563,-0.20471790094867368,0.18438559399897675,0.807468737,0.15894351,0.002608883,0.00043122,0.010375162,0.00486532988,1,Mahoning County,OH,Educated,MAINLINE CHRISTIAN,0.287106512,0.359555842,0.28810262999999997,BLACK MALE RATE,BLACK FEMALE RATE
3980,0.062,-0.8475807471203515,-0.9414932293822827,0.2,0.07559355954,0.1210762332,-0.27775915699624143,-0.15535621587306714,-0.14109775742818667,0.929878049,0.035938655,0.011640798,0.000646711,0.008222469,0.00367701404,0,Pike County,AR,Uneducated,MAINLINE CHRISTIAN,0.30330746399999997,0.368717665,0.265983001,BLACK MALE RATE,BLACK FEMALE RATE
21964,0.062,-0.6740393620042405,-0.3138996609394495,0.193,0.07497827616000001,0.1311443747,-0.1446618297221653,-0.12773207438402828,-0.10915238396249963,0.881203709,0.08053887,0.00381019,0.000311036,0.011605529,0.00426974592,0,Knox County,IL,Educated,CATHOLIC,0.290449252,0.360082424,0.28315934700000006,BLACK MALE RATE,BLACK FEMALE RATE
7471,0.05366709118,-1.3449723492444692,-2.2461441410865293,0.35700000000000004,0.126516912,0.151217969,-0.29001122190722106,4.8265092297564145,-0.15176554094485895,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,6.432698e-05,0,Wade Hampton Census Area,AK,Educated,CHRISTIAN GENERIC,0.319733914,0.390365411,0.221781173,BLACK MALE RATE,BLACK FEMALE RATE
